Date,Team,Acquired,Relinquished,Notes
2021-10-19,Jazz,,Trent Forrest,concussion (DTD)
2021-10-19,Magic,,Chuma Okeke,right hip injury (out indefinitely)
2021-10-19,Pistons,,(Sean) Chris Smith,surgery on left knee (out indefinitely)
2021-10-19,Suns,,Dario Saric,recovering from surgery on right knee to repair torn ACL (out for season)
2021-10-20,Cavaliers,,Dean Wade,sprained right ankle (DTD)
2021-10-20,Magic,,Gary Harris,right hamstring injury (DTD)
2021-10-21,Bucks,,Brook Lopez,sore back (DTD)
2021-10-21,Bucks,,Jrue Holiday,bruised right heel (DTD)
2021-10-21,Clippers,,Serge Ibaka,back injury (DTD)
2021-10-21,Hawks,,Danilo Gallinari,sore left shoulder (DTD)
2021-10-21,Jazz,Trent Forrest,,returned to lineup
2021-10-22,Cavaliers,Dean Wade,,returned to lineup
2021-10-22,Kings,,Moe Harkless,sore left hip (DTD)
2021-10-22,Pelicans,,Josh Hart,right quadriceps tendinosis (DTD)
2021-10-22,Wizards,,Anthony Gill,strained right calf (DTD)
2021-10-22,Wizards,,Bradley Beal,bruised right hip (DTD)
2021-10-23,Bucks,Jrue Holiday,,returned to lineup
2021-10-23,Heat,,Kyle Lowry,sprained left ankle (DTD)
2021-10-23,Suns,,Cameron Payne,strained right hamstring (DTD)
2021-10-24,76ers,,Andre Drummond,sprained right ankle (DTD)
2021-10-24,Kings,Moe Harkless,,returned to lineup
2021-10-25,Bucks,,Jrue Holiday,sprained left ankle (DTD)
2021-10-25,Heat,Kyle Lowry,,returned to lineup
2021-10-25,Magic,Gary Harris,,returned to lineup
2021-10-25,Pistons,,Jerami Grant,left elbow injury (DTD)
2021-10-25,Wizards,Bradley Beal,,returned to lineup
2021-10-26,76ers,Andre Drummond,,returned to lineup
2021-10-26,Jazz,,Miye Oni,illness (DTD)
2021-10-26,Lakers,,LeBron James,sore right ankle (DTD)
2021-10-27,Hawks,Danilo Gallinari,,returned to lineup
2021-10-27,Wizards,,Raul Neto,left shoulder injury (DTD)
2021-10-28,Mavericks,,Boban Marjanovic,tightness in lower back (DTD)
2021-10-28,Mavericks,,Trey Burke,NBA health and safety protocols (DTD)
2021-10-28,Pistons,(Sean) Chris Smith,,returned to lineup
2021-10-28,Pistons,Jerami Grant,,returned to lineup
2021-10-28,Wizards,Raul Neto,,returned to lineup
2021-10-29,Celtics,,Marcus Smart,illness (DTD)
2021-10-29,Lakers,LeBron James,,returned to lineup
2021-10-29,Mavericks,Boban Marjanovic,,returned to lineup
2021-10-29,Mavericks,Trey Burke,,returned to lineup
2021-10-29,Pelicans,,Garrett Temple,sprained left ankle (DTD)
2021-10-29,Pelicans,Josh Hart,,returned to lineup
2021-10-30,Jazz,Miye Oni,,returned to lineup
2021-10-30,Magic,Chuma Okeke,,returned to lineup
2021-10-30,Warriors,Jonathan Kuminga,,returned to lineup
2021-10-31,Bucks,,Khris Middleton,illness (DTD)
2021-10-31,Celtics,Marcus Smart,,returned to lineup
2021-10-31,Lakers,,Dwight Howard,stiff neck (DTD)
2021-11-01,76ers,,Tobias Harris,NBA health and safety protocols (DTD)
2021-11-01,Pacers,,Jeremy Lamb,sprained left ankle (DTD)
2021-11-01,Thunder,,Gabriel Deck,bruised left heel (DTD)
2021-11-01,Thunder,,Luguentz Dort,bruised right shoulder (DTD)
2021-11-01,Timberwolves,,Patrick Beverley,left calf injury (DTD)
2021-11-02,Heat,,K.Z. Okpala,sprained right ankle (DTD)
2021-11-02,Pelicans,Garrett Temple,,returned to lineup
2021-11-02,Rockets,,Daniel Theis,right big toe injury (DTD)
2021-11-02,Rockets,,Eric Gordon,nausea (DTD)
2021-11-02,Suns,,Deandre Ayton,right leg injury (DTD)
2021-11-03,Timberwolves,Patrick Beverley,,returned to lineup
2021-11-04,76ers,,Furkan Korkmaz,sore right wrist (DTD)
2021-11-04,Jazz,,Donovan Mitchell,sprained right ankle (DTD)
2021-11-04,Lakers,Dwight Howard,,returned to lineup
2021-11-04,Lakers,Wayne Ellington,,returned to lineup
2021-11-04,Rockets,Eric Gordon,,returned to lineup
2021-11-04,Suns,Deandre Ayton,,returned to lineup
2021-11-04,Thunder,Luguentz Dort,,returned to lineup
2021-11-05,Bucks,Jrue Holiday,,returned to lineup
2021-11-06,76ers,Furkan Korkmaz,,returned to lineup
